Location,Lat,Lon,Weather
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Capitol Hill, Seattle",47.6238307,-122.318368,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Wallingford, Seattle",47.6594631,-122.3343417,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Capitol Hill, Seattle",47.6238307,-122.318368,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"South Seattle, Seattle",47.5614876,-122.312903,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"University District, Seattle",47.6612984,-122.3131523,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Capitol Hill, Seattle",47.6238307,-122.318368,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"South, Seattle",47.6191101,-122.33653138239433,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Fremont, Seattle",47.6504529,-122.3499861,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Fremont, Seattle",47.6504529,-122.3499861,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Downtown, Seattle",47.5989361,-122.3279543,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"South Seattle, Seattle",47.5614876,-122.312903,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
"Fremont, Seattle",47.6504529,-122.3499861,"Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northwest wind around 3 mph."
